"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Endpoint Security,END-06(c),Automated Notifications of Integrity Violations,END-06.3,Automated mechanisms exist to alert incident response personnel upon discovering discrepancies during integrity verification. ,5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-06(d),Automated Response to Integrity Violations,END-06.4,Automated mechanisms exist to implement remediation actions when integrity violations are discovered. ,5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-06(e),Verify Boot Process,END-06.5,Automated mechanisms exist to verify the integrity of the boot process of information systems.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-06(f),Protection of Boot Firmware,END-06.6,Automated mechanisms exist to protect the integrity of boot firmware in information systems.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-06(g),Binary or Machine-Executable Code,END-06.7,Mechanisms exist to prohibit the use of binary or machine-executable code from sources with limited or no warranty and without access to source code.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-07,Host Intrusion Detection and Prevention Systems (HIDS / HIPS) ,END-07,Mechanisms exist to utilize Host-based Intrusion Detection / Prevention Systems (HIDS / HIPS) on sensitive systems.,9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-08,Phishing & Spam Protection ,END-08,Mechanisms exist to utilize anti-phishing and spam protection technologies to detect and take action on unsolicited messages transported by electronic mail.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-08(a),Central Management,END-08.1,Mechanisms exist to centrally-manage anti-phishing and spam protection technologies.,5,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Endpoint Security,END-08(b),Automatic Updates,END-08.2,Mechanisms exist to automatically update anti-phishing and spam protection technologies when new releases are available in accordance with configuration and change management practices.,8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-09,Trusted Path,END-09,Mechanisms exist to establish a trusted communications path between the user and the security functions of the operating system.,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-10,Mobile Code,END-10,Mechanisms exist to address mobile code / operating system-independent applications. ,4,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-11,Thin Nodes,END-11,Mechanisms exist to configure thin nodes to have minimal functionality and information storage. ,4,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-12,Port & Input / Output (I/O) Device Access ,END-12,Mechanisms exist to physically disable or remove unnecessary connection ports or input/output devices from sensitive systems.,6,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-13,Sensor Capability,END-13,"Mechanisms exist to configure embedded sensors on systems to: 
 ▪ Prohibit the remote activation of sensing capabilities; and
 ▪ Provide an explicit indication of sensor use to users.",10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-13(a),Authorized Use,END-13.1,Mechanisms exist to utilize organization-defined measures so that data or information collected by sensors is only used for authorized purposes.,8,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-13(b),Notice of Collection,END-13.2,Mechanisms exist to notify individuals that Personal Data (PD) is collected by sensors.,10,Management,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,x,,x,x,
Endpoint Security,END-13(c),Collection Minimization,END-13.3,Mechanisms exist to utilize sensors that are configured to minimize the collection of information about individuals.,8,Management,Basic,Protect,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,x,,x,x,
Endpoint Security,END-14,Collaborative Computing Devices ,END-14,"Mechanisms exist to unplug or prohibit the remote activation of collaborative computing devices with the following exceptions: 
 ▪ Networked whiteboards; 
 ▪ Video teleconference cameras; and 
 ▪ Teleconference microphones. ",9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-14(a),Disabling / Removal In Secure Work Areas,END-14.1,Mechanisms exist to disable or remove collaborative computing devices from critical information systems and secure work areas.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Endpoint Security,END-14(b),Explicitly Indicate Current Participants,END-14.2,Automated mechanisms exist to provide an explicit indication of current participants in online meetings and teleconferences.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Endpoint Security,END-15,Hypervisor Access ,END-15,Mechanisms exist to restrict access to hypervisor management functions or administrative consoles for systems hosting virtualized systems.,9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Endpoint Security,END-16,Security Function Isolation ,END-16,Mechanisms exist to ensure system configurations isolate security functions from non-security functions. ,7,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Endpoint Security,END-16(a),Host-Based Security Function Isolation,END-16.1,Mechanisms exist to implement underlying software separation mechanisms to facilitate security function isolation. ,7,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Human Resources Security,HRS-01,Human Resources Security Management,HRS-01,Mechanisms exist to facilitate the implementation of personnel security controls.,10,All Users,Basic,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-02,Position Categorization ,HRS-02,Mechanisms exist to manage personnel security risk by assigning a risk designation to all positions and establishing screening criteria for individuals filling those positions.,8,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-02(a),Users With Elevated Privileges,HRS-02.1,"Mechanisms exist to ensure that every user accessing a system that processes, stores, or transmits sensitive information is cleared and regularly trained to handle the information in question.",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Human Resources Security,HRS-03,Roles & Responsibilities ,HRS-03,Mechanisms exist to define cybersecurity responsibilities for all personnel. ,10,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-03(a),User Awareness ,HRS-03.1,Mechanisms exist to communicate with users about their roles and responsibilities to maintain a safe and secure working environment.,9,Management,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-03(b),Competency Requirements for Security-Related Positions,HRS-03.2,Mechanisms exist to ensure that all security-related positions are staffed by qualified individuals who have the necessary skill set. ,9,All Users,Enhanced,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-04,Personnel Screening ,HRS-04,Mechanisms exist to manage personnel security risk by screening individuals prior to authorizing access.,10,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-04(a),Roles With Special Protection Measures,HRS-04.1,"Mechanisms exist to ensure that individuals accessing a system that stores, transmits or processes information requiring special protection satisfy organization-defined personnel screening criteria.",9,All Users,Enhanced,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Human Resources Security,HRS-04(b),Formal Indoctrination,HRS-04.2,"Mechanisms exist to verify that individuals accessing a system processing, storing, or transmitting sensitive information are formally indoctrinated for all the relevant types of information to which they have access on the system.",7,Management,Enhanced,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-05,Terms of Employment ,HRS-05,Mechanisms exist to require all employees and contractors to apply security and privacy principles in their daily work.,10,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-05(a),Rules of Behavior,HRS-05.1,"Mechanisms exist to define acceptable and unacceptable rules of behavior for the use of technologies, including consequences for unacceptable behavior.",10,All Users,Basic,Identify,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-05(b),Social Media & Social Networking Restrictions,HRS-05.2,"Mechanisms exist to define rules of behavior that contain explicit restrictions on the use of social media and networking sites, posting information on commercial websites and sharing account information. ",9,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-05(c),Use of Communications Technology,HRS-05.3,"Mechanisms exist to establish usage restrictions and implementation guidance for communications technologies based on the potential to cause damage to systems, if used maliciously. ",10,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-05(d),Use of Critical Technologies ,HRS-05.4,Mechanisms exist to govern usage policies for critical technologies. ,9,All Users,Enhanced,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-05(e),Use of Mobile Devices,HRS-05.5,Mechanisms exist to manage business risks associated with permitting mobile device access to organizational resources.,9,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-06,Access Agreements ,HRS-06,Mechanisms exist to require internal and third-party users to sign appropriate access agreements prior to being granted access. ,10,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-06(a),Confidentiality Agreements,HRS-06.1,"Mechanisms exist to require Non-Disclosure Agreements (NDAs) or similar confidentiality agreements that reflect the needs to protect data and operational details, or both employees and third-parties.",10,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-06(b),Post-Employment Obligations,HRS-06.2,"Mechanisms exist to notify terminated individuals of applicable, legally-binding post-employment requirements for the protection of sensitive organizational information.",5,All Users,Basic,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-07,Personnel Sanctions,HRS-07,"Mechanisms exist to sanction personnel failing to comply with established security policies, standards and procedures. ",10,All Users,Basic,Respond,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-07(a),Workplace Investigations,HRS-07.1,Mechanisms exist to conduct employee misconduct investigations when there is reasonable assurance that a policy has been violated. ,8,Management,Basic,Respond,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Human Resources Security,HRS-08,Personnel Transfer,HRS-08,"Mechanisms exist to adjust logical and physical access authorizations to systems and facilities upon personnel reassignment or transfer, in a timely manner.",10,All Users,Basic,Identify,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-09,Personnel Termination ,HRS-09,Mechanisms exist to govern the termination of individual employment.,10,All Users,Basic,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-09(a),Asset Collection,HRS-09.1,Mechanisms exist to retrieve organization-owned assets upon termination of an individual's employment.,10,Management,Basic,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-09(b),High-Risk Terminations,HRS-09.2,"Mechanisms exist to expedite the process of removing ""high risk"" individual’s access to systems and applications upon termination, as determined by management.",10,Management,Basic,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-09(c),Post-Employment Requirements ,HRS-09.3,"Mechanisms exist to govern third-party personnel by notifying terminated individuals of applicable, legally binding post-employment requirements for the protection of organizational information.",8,Management,Basic,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-09(d),Automated Employment Status Notifications,HRS-09.4,Automated mechanisms exist to notify Identity and Access Management (IAM) personnel or roles upon termination of an individual employment or contract.,5,Technical,Enhanced,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-10,Third-Party Personnel Security,HRS-10,Mechanisms exist to govern third-party personnel by reviewing and monitoring third-party cybersecurity and privacy roles and responsibilities.,10,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Human Resources Security,HRS-11,Separation of Duties,HRS-11,Mechanisms exist to implement and maintain Separation of Duties (SoD) to prevent potential malevolent activity without collusion.,7,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Human Resources Security,HRS-12,Incompatible Roles ,HRS-12,"Mechanisms exist to avoid incompatible development-specific roles through limiting and reviewing developer privileges to change hardware, software and firmware components within a production/operational environment.",8,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Human Resources Security,HRS-12(a),Two-Person Rule,HRS-12.1,Mechanisms exist to enforce a two-person rule for implementing changes to sensitive systems.,7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Human Resources Security,HRS-13,Identify Critical Skills & Gaps,HRS-13,Mechanisms exist to evaluate the critical cybersecurity and privacy skills needed to support the organization’s mission and identify gaps that exist.,5,Technical,Enhanced,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-13(a),Remediate Identified Skills Deficiencies,HRS-13.1,Mechanisms exist to remediate critical skills deficiencies necessary to support the organization’s mission and business functions.,5,Technical,Enhanced,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-13(b),Identify Vital Cybersecurity & Privacy Staff,HRS-13.2,Mechanisms exist to identify vital cybersecurity & privacy staff.,5,Technical,Enhanced,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-13(c),Establish Redundancy for Vital Cybersecurity & Privacy Staff,HRS-13.3,Mechanisms exist to establish redundancy for vital cybersecurity & privacy staff.,5,Technical,Enhanced,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Human Resources Security,HRS-13(d),Perform Succession Planning,HRS-13.4,Mechanisms exist to perform succession planning for vital cybersecurity & privacy roles.,5,Technical,Enhanced,Protect,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Identification & Authentication,IAC-01,Identity & Access Management (IAM) ,IAC-01,Mechanisms exist to facilitate the implementation of identification and access management controls.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-02,Identification & Authentication for Organizational Users ,IAC-02,Mechanisms exist to uniquely identify and authenticate organizational users and processes acting on behalf of organizational users. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-02(a),Group Authentication ,IAC-02.1,Mechanisms exist to require individuals to be authenticated with an individual authenticator when a group authenticator is utilized. ,7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Identification & Authentication,IAC-02(b),Network Access to Privileged Accounts - Replay Resistant,IAC-02.2,Automated mechanisms exist to employ replay-resistant network access authentication.,9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
